order_id,id_,product_id,fecha_pedido,cantidad,precio_unitario,descuento,importe_total,metodo_pago,envio_gratis,calificacion,devuelto,canal,hoja_origen,categoria_producto,nombre_producto,marca,costo_unitario,precio_lista,peso_kg,proveedor,stock_disponible,fecha_lanzamiento,rating_promedio_producto,edad,estado_civil,nivel_educativo,ingresos_anuales,tiene_hijos,adolescentes_en_casa,fecha_registro,ciudad,region,latitude,longitude,segmento_cliente,visitas_web_mes
15,5f50c62e-8670-4ff6-a5cb-b8aedb89b78e,P0037,21-abril-2022,1,"82,31",0.05,"78,19",CONTRAREEMBOLSO,0,4.0,no,App movil,2022,Ropa,Camiseta Prisma Basic,Prisma,"7,07","14,94",3.27,Distribuidora Iberia,353,13-noviembre-2019,3.19,41.0,Casado,grado universitario,31780,0.0,1.0,20-noviembre-2018,Malaga,Sur,38.964,-6.657,Nuevo,8
16,d97410d5-efd5-4086-b35c-164598a8930f,P0020,14-abril-2022,1,"118,89",0.1,"107,00",tarjeta de debito,0,5.0,no,Web,2022,Hogar,Aspiradora Vantia Pro,Vantia,"26,28","56,17",4.57,Distribuidora Iberia,194,18-mayo-2022,4.86,27.0,Casado,grado universitario,39167,1.0,1.0,14-febrero-2020,Barcelona,Este,37.775,-7.366,Corporativo,3
17,b7949435-21c0-4c85-bad2-275a6cc85b5b,P0085,7-septiembre-2022,1,"170,60",0.0,"170,60",tarjeta de debito,0,4.0,NO,Tienda fisica,2022,Libros,Manual Zentra Basic,Zentra,"50,93","97,80",8.46,Distribuidora Iberia,110,19-mayo-2021,4.9,26.0,Casado,master,26976,1.0,0.0,26-enero-2022,Granada,Sur,38.352,-3.172,Recurrente,6
18,c7415e61-ea0d-4227-9232-c27acad0d901,P0088,28-mayo-2022,4,"30,32",0.2,"97,01",contrareembolso,1,3.0,NO,App movil,2022,Libros,Poesia Lumen Basic,Lumen,"14,28","22,58",11.79,Norte Logistica,214,4-diciembre-2019,2.82,53.0,casado,grado universitario,39653,1.0,0.0,2-mayo-2018,Valencia,Este,40.422,-1.791,Nuevo,6
19,7e39f641-c93a-40d4-865b-3db62e276bf2,P0019,26-mayo-2022,1,"22,45",0.1,"20,21",tarjeta de debito,0,4.0,no,App movil,2022,Hogar,Aspiradora Vantia Basic,Vantia,"25,10","37,76",9.59,Global Supply SL,148,22-mayo-2023,4.15,44.0,Soltero,grado universitario,50310,1.0,0.0,14-marzo-2019,Zaragoza,Centro,39.057,-3.031,Recurrente,15
20,529d575f-46bc-4bf2-9ae9-9d7354fcd017,P0059,17-diciembre-2022,1,"55,72",0.3,"39,00",PayPal,0,5.0,SI,App movil,2022,Deporte,Mancuernas Nova Pro,Nova,"34,03","51,28",8.43,Norte Logistica,25,30-abril-2024,3.54,42.0,soltero,basico,64151,,0.0,24-agosto-2022,Granada,Sur,38.178,0.225,Recurrente,8
21,fd5afbe0-182e-4127-a4c1-bac80b980481,P0045,19-octubre-2022,2,"54,86",0.0,"109,72",TARJETA DE CREDITO,0,,NO,Tienda fisica,2022,Ropa,Chaqueta Norte&Co Max,Norte&Co,"26,67","38,64",3.97,Distribuidora Iberia,321,16-junio-2019,4.69,,casado,basico,43960,0.0,1.0,26-febrero-2018,Malaga,Sur,43.259,-5.176,Recurrente,3
22,ec54943a-545b-4665-9281-a7b007e8e9cc,P0069,30-octubre-2022,2,"16,51",0.0,"33,01",PAYPAL,1,3.0,NO,Tienda fisica,2022,Deporte,Raqueta Prisma Max,Prisma,"22,44","42,51",7.59,Distribuidora Iberia,417,26-octubre-2023,3.75,42.0,Divorciado,grado universitario,42588,0.0,1.0,29-noviembre-2022,Sevilla,Sur,39.895,-2.316,Recurrente,6
23,a638c346-bfd6-433e-bc16-274872fd5bf9,P0058,15-septiembre-2022,3,"69,33",0.0,"207,99",transferencia,1,,NO,App movil,2022,Deporte,Mancuernas Vantia Basic,Vantia,"49,34","81,74",8.93,Distribuidora Iberia,341,4-septiembre-2019,3.35,47.0,CASADO,master,25326,0.0,0.0,4-agosto-2020,Malaga,Sur,36.602,-0.086,Nuevo,7
24,6467d795-ee39-44fa-a3da-472b25f97f7b,P0083,23-febrero-2022,1,"13,38",0.0,"13,38",PAYPAL,0,4.0,no,Web,2022,Libros,Biografia Kore Pro,Kore,"9,96","21,61",6.89,Comercial Atlas,450,26-diciembre-2019,3.52,40.0,casado,bachillerato,36106,1.0,0.0,9-octubre-2019,Murcia,Sur,37.134,-2.75,Corporativo,12
25,8f7b85e4-f6cd-4de7-ac95-375d04899617,P0039,24-agosto-2022,1,"32,51",0.1,"29,26",Tarjeta de debito,1,4.0,no,App movil,2022,Ropa,Camiseta Vantia Max,Vantia,"67,65","114,10",8.94,Global Supply SL,303,28-febrero-2021,3.45,50.0,soltero,master,41976,0.0,0.0,29-septiembre-2019,Murcia,Sur,37.95,-7.745,Nuevo,8
26,8bb3866a-39cb-4168-bf9f-59ff45f1a66a,P0076,26-junio-2022,1,"32,07",0.0,"32,07",Tarjeta de credito,0,4.0,NO,App movil,2022,Libros,Comic Prisma Basic,Prisma,"39,69","83,49",0.43,Norte Logistica,127,21-julio-2021,4.07,36.0,Divorciado,grado universitario,43786,1.0,0.0,9-noviembre-2020,Granada,Sur,38.673,0.897,Nuevo,7
27,f780366a-58d7-4130-bec9-bc5a8e60a84f,P0002,11-agosto-2022,1,"37,36",0.15,"31,76",tarjeta de credito,0,4.0,no,Web,2022,Electronica,Auriculares Urbanix Pro,Urbanix,"47,97","77,93",11.86,Global Supply SL,392,8-marzo-2019,3.29,41.0,Casado,master,29449,0.0,0.0,17-diciembre-2021,Vigo,Norte,39.226,0.369,Nuevo,9
28,d17a12c4-6cb1-468f-914f-d3c2b0bdcd01,P0088,25-marzo-2022,1,"40,61",0.0,"40,61",Tarjeta de debito,0,5.0,no,Tienda fisica,2022,Libros,Poesia Lumen Basic,Lumen,"14,28","22,58",11.79,Norte Logistica,214,4-diciembre-2019,2.82,64.0,CASADO,grado universitario,34368,0.0,1.0,10-junio-2020,Barcelona,Este,40.53,-3.339,Corporativo,8
29,bc550d1f-e309-41cd-b246-d91861db366b,P0076,2-diciembre-2022,1,"45,16",0.05,"42,90",contrareembolso,0,5.0,no,Marketplace,2022,Libros,Comic Prisma Basic,Prisma,"39,69","83,49",0.43,Norte Logistica,127,21-julio-2021,4.07,,soltero,grado universitario,53354,0.0,0.0,28-junio-2022,Malaga,Sur,38.42,2.851,Recurrente,8
30,0a8221af-4734-4860-a4e0-9ad05718ddf1,P0053,27-febrero-2022,1,"83,02",0.1,"74,72",Tarjeta de credito,0,5.0,NO,Web,2022,Ropa,Gorra Nova Pro,Nova,"36,14","49,45",10.77,Norte Logistica,352,29-mayo-2019,3.06,49.0,divorciado,grado universitario,80588,1.0,0.0,12-abril-2022,Malaga,Sur,41.84,0.132,Corporativo,10
31,717170c1-feda-4a17-b73d-6da5b0258bfe,P0080,17-noviembre-2022,3,"53,74",0.05,"153,15",PayPal,1,4.0,no,App movil,2022,Libros,Ensayo Prisma Pro,Prisma,"16,12","34,32",10.66,Comercial Atlas,340,28-octubre-2019,4.09,39.0,casado,basico,43049,1.0,0.0,27-marzo-2022,Vigo,Norte,42.427,-8.719,Recurrente,5
32,f9e79df6-4784-4001-a471-e712bd0c0046,P0049,10-febrero-2022,1,"72,55",0.2,"58,04",tarjeta de debito,0,5.0,NO,Tienda fisica,2022,Ropa,Vestido Norte&Co Basic,Norte&Co,"34,23","62,87",2.38,Norte Logistica,488,7-julio-2021,3.44,50.0,DIVORCIADO,master,32361,0.0,1.0,26-diciembre-2021,Murcia,Sur,40.94,-6.451,VIP,11
33,4b95221c-f029-42e1-8e74-eac68ae96baf,P0061,9-mayo-2022,1,"23,87",0.0,"23,87",PAYPAL,1,,NO,Web,2022,Deporte,Bicicleta Kore Basic,Kore,"28,78","45,40",4.76,Norte Logistica,63,3-octubre-2023,2.75,18.0,soltero,bachillerato,29142,0.0,0.0,9-mayo-2022,Valencia,Este,39.229,-8.228,Nuevo,4
34,f3075bf3-d63a-4d7d-8133-7411460986c9,P0012,18-enero-2022,3,"16,28",0.0,"48,85",tarjeta de credito,0,5.0,no,Web,2022,Electronica,Tablet Nova Max,Nova,"52,99","69,30",9.28,Global Supply SL,88,6-junio-2019,3.92,39.0,SOLTERO,basico,52024,0.0,0.0,10-octubre-2019,Murcia,Sur,37.483,1.882,Recurrente,6
35,f7f78487-a156-4c6c-bb80-1a84e9f2d334,P0036,28-diciembre-2022,1,"31,37",0.05,"29,80",transferencia,1,,no,App movil,2022,Hogar,Estanteria Norte&Co Max,Norte&Co,"14,61","31,58",7.15,Norte Logistica,409,9-enero-2019,4.82,45.0,SOLTERO,master,43352,1.0,1.0,7-agosto-2021,Malaga,Sur,40.881,-3.949,Recurrente,11
36,9474c08f-9f7a-42c2-8514-5c677526ce73,P0053,27-mayo-2022,4,"37,25",0.15,"126,64",Tarjeta de credito,1,5.0,no,App movil,2022,Ropa,Gorra Nova Pro,Nova,"36,14","49,45",10.77,Norte Logistica,352,29-mayo-2019,3.06,37.0,SOLTERO,bachillerato,50895,0.0,0.0,27-octubre-2022,Bilbao,Norte,39.62,-7.503,VIP,9
37,921d4c96-ecf0-4b91-b3a2-eed2faff7e37,P0026,29-noviembre-2022,1,"29,66",0.15,"25,21",tarjeta de debito,0,4.0,no,Web,2022,Hogar,Sarten Zentra Pro,Zentra,"31,36","41,33",1.23,Global Supply SL,471,14-febrero-2022,3.22,,Soltero,grado universitario,33069,0.0,1.0,17-diciembre-2020,Bilbao,Norte,38.368,-3.067,VIP,10
38,76df39bb-bfc2-4c1c-9a4a-310fa27f9a24,P0032,5-mayo-2022,2,"25,90",0.2,"41,44",PayPal,1,5.0,NO,Web,2022,Hogar,Silla Norte&Co Pro,Norte&Co,"80,42","136,88",1.15,Norte Logistica,217,19-julio-2023,3.63,20.0,soltero,grado universitario,43457,1.0,0.0,25-diciembre-2018,Vigo,Norte,37.758,-0.424,Nuevo,9
39,4b516945-56e2-481e-8bc7-fb5a08aa9bdd,P0002,22-agosto-2022,2,"66,76",0.15,"113,49",contrareembolso,0,2.0,NO,Web,2022,Electronica,Auriculares Urbanix Pro,Urbanix,"47,97","77,93",11.86,Global Supply SL,392,8-marzo-2019,3.29,59.0,soltero,bachillerato,32705,0.0,1.0,18-octubre-2022,Vigo,Norte,40.544,-2.604,Corporativo,5
40,fcf9bf2c-17b9-4941-aca9-f17415ab0ce5,P0009,3-julio-2022,2,"46,81",0.1,"84,26",paypal,0,5.0,no,Marketplace,2022,Electronica,Portatil Kore Max,Kore,"13,97","18,53",8.96,Global Supply SL,23,15-diciembre-2021,3.84,49.0,CASADO,basico,45851,0.0,0.0,17-diciembre-2018,Sevilla,Sur,41.736,-5.694,VIP,10
41,abfd9fa5-b160-4574-90f9-6e5b5a8d39b8,P0047,17-diciembre-2022,2,"51,35",0.1,"92,44",Tarjeta de credito,0,4.0,no,App movil,2022,Ropa,Zapatillas Nova Pro,Nova,"80,97","119,17",11.8,Distribuidora Iberia,181,22-octubre-2020,4.27,29.0,Casado,grado universitario,53355,0.0,0.0,6-abril-2020,Granada,Sur,40.577,2.425,Recurrente,8
42,ae7ee95c-3164-4e30-bcb1-41c6a49c4dfe,P0078,26-agosto-2022,3,"113,15",0.3,"237,62",tarjeta de debito,0,4.0,no,Marketplace,2022,Libros,Comic Kore Max,Kore,"30,44","58,25",8.75,Norte Logistica,60,19-abril-2019,3.86,31.0,SOLTERO,master,40105,0.0,1.0,3-abril-2021,Malaga,Sur,38.126,-7.828,Nuevo,15
43,0bf3e46e-80e5-414d-a7c0-ce34d5aa6e9f,P0003,14-enero-2022,1,"62,52",0.0,"62,52",Tarjeta de debito,0,5.0,no,App movil,2022,Electronica,Auriculares Nova Max,Nova,"49,49","98,89",8.54,Global Supply SL,317,16-junio-2023,4.18,70.0,Soltero,grado universitario,21996,1.0,1.0,10-mayo-2019,Murcia,Sur,36.035,-1.668,VIP,5
44,f0217079-a404-4bf0-9048-161e5857f86c,P0084,23-marzo-2022,1,"890,29",0.1,"801,26",TARJETA DE CREDITO,0,4.0,no,App movil,2022,Libros,Biografia Nova Max,Nova,"15,12","22,78",10.89,Global Supply SL,154,12-mayo-2023,4.74,52.0,CASADO,grado universitario,31179,1.0,0.0,9-abril-2021,Barcelona,Este,41.271,1.95,Nuevo,9
45,271026d1-771b-43c4-807d-af83eef6b1ab,P0008,12-abril-2022,5,"33,94",0.0,"169,70",Tarjeta de credito,0,5.0,no,App movil,2022,Electronica,Portatil Urbanix Pro,Urbanix,"62,95","135,18",7.21,Global Supply SL,380,1-noviembre-2019,4.21,45.0,soltero,grado universitario,58463,0.0,1.0,26-mayo-2021,Madrid,Centro,39.66,-0.897,Recurrente,9
46,05bdeaf8-c895-4426-8b72-09e8545be35e,P0043,6-marzo-2022,1,"126,45",0.15,"107,48",PAYPAL,0,3.0,NO,App movil,2022,Ropa,Chaqueta Kore Basic,Kore,"33,61","47,03",2.94,Comercial Atlas,39,28-julio-2022,2.97,50.0,Soltero,master,37146,1.0,0.0,29-junio-2021,Granada,Sur,36.552,2.877,Nuevo,9
47,f46a4904-7a1b-49be-8a99-dcdfe5d749a5,P0045,11-marzo-2022,1,"87,04",0.2,"69,64",Tarjeta de debito,0,2.0,SI,App movil,2022,Ropa,Chaqueta Norte&Co Max,Norte&Co,"26,67","38,64",3.97,Distribuidora Iberia,321,16-junio-2019,4.69,51.0,Casado,master,72391,1.0,0.0,21-febrero-2021,Sevilla,Sur,38.882,-4.645,Nuevo,3
48,7f23635c-d222-4ebd-b6d0-e2f98cee22a5,P0047,10-enero-2022,1,"67,64",0.05,"64,26",Transferencia,0,5.0,no,Tienda fisica,2022,Ropa,Zapatillas Nova Pro,Nova,"80,97","119,17",11.8,Distribuidora Iberia,181,22-octubre-2020,4.27,36.0,casado,basico,41061,0.0,0.0,25-octubre-2019,Madrid,Centro,41.578,0.286,Nuevo,8
49,22f64527-4182-4c4e-8128-d3ef73178957,P0041,27-septiembre-2022,1,"65,16",0.0,"65,16",TARJETA DE CREDITO,0,5.0,NO,Marketplace,2022,Ropa,Pantalon Norte&Co Pro,Norte&Co,"9,76","17,78",10.36,Norte Logistica,336,3-octubre-2023,4.72,40.0,Soltero,master,19016,1.0,0.0,18-mayo-2018,Vigo,Norte,38.167,1.471,Nuevo,4
50,cd1c7936-b0af-45b4-9903-37685d990d8f,P0031,26-octubre-2022,1,"13,64",0.0,"13,64",tarjeta de debito,1,5.0,no,Web,2022,Hogar,Silla Vantia Basic,Vantia,"41,97","67,50",8.58,Comercial Atlas,301,25-julio-2022,3.28,42.0,casado,grado universitario,32739,0.0,0.0,8-marzo-2022,Valencia,Este,40.958,-5.139,Corporativo,9
51,dc413b6b-a279-4eb6-9e68-ba6f982b1ba9,P0058,11-julio-2022,2,"53,08",0.05,"100,85",contrareembolso,0,3.0,NO,App movil,2022,Deporte,Mancuernas Vantia Basic,Vantia,"49,34","81,74",8.93,Distribuidora Iberia,341,4-septiembre-2019,3.35,44.0,soltero,grado universitario,40317,1.0,0.0,18-agosto-2022,Murcia,Sur,40.395,-5.009,VIP,9
52,3395d8b9-5e4a-4649-ac42-7b44ff093702,P0063,23-septiembre-2022,2,"24,37",0.05,"46,31",PayPal,1,4.0,NO,Tienda fisica,2022,Deporte,Bicicleta Zentra Max,Zentra,"34,26","72,84",10.01,Comercial Atlas,285,6-marzo-2021,4.84,51.0,DIVORCIADO,bachillerato,39909,0.0,0.0,13-abril-2021,Valencia,Este,37.11,-1.547,VIP,9
53,ccf8c9e6-d7a8-4c1c-8c74-80d4a27de195,P0071,8-abril-2022,2,"35,71",0.1,"64,28",tarjeta de credito,0,5.0,NO,Web,2022,Deporte,Casco Lumen Pro,Lumen,"5,24","9,70",5.45,Global Supply SL,409,3-julio-2019,3.42,21.0,Casado,master,47756,0.0,1.0,25-noviembre-2020,Bilbao,Norte,43.303,-5.372,Recurrente,7
54,cf70b90a-c867-45c3-8c66-00611e70a70d,P0079,25-septiembre-2022,2,"43,61",0.0,"87,22",Tarjeta de debito,0,4.0,no,Web,2022,Libros,Ensayo Urbanix Basic,Urbanix,"24,21","48,33",4.65,Comercial Atlas,402,23-septiembre-2022,4.84,43.0,soltero,grado universitario,24267,1.0,0.0,12-agosto-2019,Bilbao,Norte,40.429,-3.057,Recurrente,5
55,60f1e20a-5e4b-4a96-ac42-6e42dad1893d,P0048,3-octubre-2022,4,"35,13",0.05,"133,50",tarjeta de debito,0,4.0,no,Marketplace,2022,Ropa,Zapatillas Prisma Max,Prisma,"19,15","37,77",11.98,Global Supply SL,98,15-septiembre-2023,4.43,41.0,Casado,bachillerato,82547,0.0,1.0,20-febrero-2020,Murcia,Sur,36.11,-1.326,Nuevo,8
56,0f4308ea-cc68-4848-a93a-d422b02cf649,P0063,16-febrero-2022,1,"59,26",0.0,"59,26",Tarjeta de debito,1,5.0,NO,App movil,2022,Deporte,Bicicleta Zentra Max,Zentra,"34,26","72,84",10.01,Comercial Atlas,285,6-marzo-2021,4.84,43.0,Soltero,bachillerato,49376,1.0,0.0,28-octubre-2019,Malaga,Sur,41.588,-0.978,Nuevo,4
57,76940455-b8f6-466a-9486-29cd6c95bc38,P0056,12-enero-2022,1,"36,99",0.0,"36,99",PayPal,0,5.0,SI,App movil,2022,Deporte,Balon Zentra Pro,Zentra,"13,50","18,87",4.89,Global Supply SL,381,24-diciembre-2023,,53.0,CASADO,doctorado,41234,0.0,1.0,19-julio-2022,Malaga,Sur,41.385,-5.907,Recurrente,7
58,fb9cd4b9-e80c-415e-a889-628abbb009e0,P0023,15-marzo-2022,2,"83,78",0.0,"167,57",Tarjeta de debito,1,,no,Web,2022,Hogar,Cafetera Nova Pro,Nova,"12,56","24,24",6.49,Comercial Atlas,200,1-septiembre-2022,4.84,43.0,casado,basico,22151,0.0,0.0,24-octubre-2020,Murcia,Sur,41.281,-8.901,Recurrente,8
59,6aed9c53-f524-4d9f-889f-cf2548600dae,P0055,3-octubre-2022,2,"105,06",0.0,"210,12",tarjeta de debito,0,4.0,no,App movil,2022,Deporte,Balon Vantia Basic,Vantia,"96,15","211,36",7.53,Global Supply SL,244,22-febrero-2022,3.99,25.0,casado,bachillerato,51428,1.0,0.0,15-enero-2019,Barcelona,Este,38.562,1.476,VIP,5
60,58cb3685-781f-463a-896c-8b270d6079ff,P0022,12-agosto-2022,1,"43,98",0.05,"41,78",PayPal,0,5.0,NO,App movil,2022,Hogar,Cafetera Norte&Co Basic,Norte&Co,"21,12","35,46",0.92,Comercial Atlas,399,3-diciembre-2020,4.98,47.0,CASADO,grado universitario,45107,0.0,0.0,25-septiembre-2021,Granada,Sur,42.012,1.115,VIP,10
61,7295ff65-4197-48d2-9e60-280f8be844a9,P0085,24-septiembre-2022,4,"98,79",0.0,"395,16",tarjeta de credito,1,4.0,NO,Tienda fisica,2022,Libros,Manual Zentra Basic,Zentra,"50,93","97,80",8.46,Distribuidora Iberia,110,19-mayo-2021,4.9,52.0,Casado,bachillerato,27724,1.0,0.0,19-agosto-2018,Vigo,Norte,36.761,-7.14,Nuevo,8
62,609c7437-01ff-4f4b-8988-b638707c2f77,P0009,10-marzo-2022,1,"84,71",0.0,"84,71",TARJETA DE CREDITO,1,5.0,no,Tienda fisica,2022,Electronica,Portatil Kore Max,Kore,"13,97","18,53",8.96,Global Supply SL,23,15-diciembre-2021,3.84,41.0,CASADO,grado universitario,25466,1.0,0.0,11-septiembre-2018,Murcia,Sur,42.488,1.37,Nuevo,3
63,8100d7a6-93c4-4282-beb7-6b54424c0be4,P0057,11-agosto-2022,1,"15,97",0.1,"14,37",Tarjeta de credito,1,3.0,no,Tienda fisica,2022,Deporte,Balon Kore Max,Kore,"13,36","26,72",9.0,Global Supply SL,460,12-diciembre-2020,3.49,45.0,casado,bachillerato,60244,1.0,1.0,27-diciembre-2020,Malaga,Sur,41.375,2.307,Recurrente,6
64,b8c398c4-1342-4ed9-924a-77afa8dc9366,P0034,26-agosto-2022,3,"33,11",0.1,"89,40",paypal,1,3.0,NO,Web,2022,Hogar,Estanteria Nova Basic,Nova,"13,94","26,26",5.83,Comercial Atlas,197,24-septiembre-2023,3.68,38.0,Soltero,master,39568,,0.0,22-noviembre-2020,Zaragoza,Centro,43.266,0.109,Nuevo,4
65,05767c65-9328-459d-a294-9504913fcfb6,P0057,18-junio-2022,1,"23,06",0.15,"19,60",tarjeta de debito,0,1.0,no,Web,2022,Deporte,Balon Kore Max,Kore,"13,36","26,72",9.0,Global Supply SL,460,12-diciembre-2020,3.49,62.0,soltero,grado universitario,18709,0.0,1.0,19-diciembre-2021,Barcelona,Este,37.483,-8.904,Nuevo,15
66,69dec2e1-3af5-4f81-8394-2421083679ad,P0087,29-septiembre-2022,1,"57,60",0.0,"57,60",PayPal,0,4.0,NO,Tienda fisica,2022,Libros,Manual Zentra Max,Zentra,"18,46","28,12",5.61,Distribuidora Iberia,365,10-mayo-2021,4.78,44.0,casado,grado universitario,53744,0.0,0.0,30-abril-2021,Barcelona,Este,42.128,-6.055,VIP,14
67,291c89d5-34a5-40bf-b2ad-618a7310d9f5,P0049,11-julio-2022,1,"50,94",0.1,"45,84",Tarjeta de debito,1,5.0,NO,Marketplace,2022,Ropa,Vestido Norte&Co Basic,Norte&Co,"34,23","62,87",2.38,Norte Logistica,488,7-julio-2021,3.44,37.0,Divorciado,bachillerato,28653,1.0,0.0,23-junio-2022,Bilbao,Norte,40.75,-1.328,Nuevo,10
