order_id,id_cliente,product_id,fecha_pedido,cantidad,precio_unitario,descuento,importe_total,metodo_pago,envio_gratis,calificacion,devuelto,canal,año_ventas,categoria_producto,nombre_producto,marca,costo_unitario,precio_lista,peso_kg,proveedor,stock_disponible,fecha_lanzamiento,rating_promedio_producto,edad,estado_civil,nivel_educativo,ingresos_anuales,tiene_hijos,adolescentes_en_casa,fecha_registro,ciudad,region,latitude,longitude,segmento_cliente,visitas_web_mes,precio_unitario_wz,importe_total_wz,mes_ventas
11,9fbca5f2-0472-4cbf-a855-fa3e061c32b6,P0070,2022-11-22,3,26.31,0.0,78.94,tarjeta de debito,no,5.0,no,app movil,2022,deporte,Casco Vantia Basic,vantia,24.43,51.88,2.52,global supply sl,424,2021-05-20,2.87,43.0,soltero,master,42184,si,si,2022-11-04,malaga,sur,36.748,2.02,nuevo,9,26.31,78.94,11
12,62e3f5c5-72cd-42e1-8360-6173ea6d7906,P0013,2022-05-31,1,72.83,0.1,65.54,tarjeta de debito,si,5.0,no,web,2022,electronica,Smartwatch Prisma Basic,prisma,23.15,46.14,7.79,norte logistica,52,2021-02-16,3.56,41.0,casado,grado universitario,34727,si,si,2022-02-16,barcelona,este,41.791,-0.161,corporativo,8,72.83,65.54,5
13,b98958c6-0e11-4cf3-9165-0fcfe8883d46,P0069,2022-05-13,1,55.98,0.0,55.98,tarjeta de credito,no,5.0,no,web,2022,deporte,Raqueta Prisma Max,prisma,22.44,42.51,7.59,distribuidora iberia,417,2023-10-26,3.75,39.0,divorciado,grado universitario,31215,no,si,2018-05-12,malaga,sur,39.783,-6.903,nuevo,7,55.98,55.98,5
14,08e2034f-ccb6-45a3-bea2-e7088414473a,P0003,2022-03-10,1,26.22,0.15,22.28,paypal,no,5.0,no,app movil,2022,electronica,Auriculares Nova Max,nova,49.49,98.89,8.54,global supply sl,317,2023-06-16,4.18,57.0,casado,basico,45857,si,no,2021-06-15,murcia,sur,37.587,-6.001,recurrente,6,26.22,22.28,3
15,5f50c62e-8670-4ff6-a5cb-b8aedb89b78e,P0037,2022-04-21,1,82.31,0.05,78.19,contrareembolso,no,4.0,no,app movil,2022,ropa,Camiseta Prisma Basic,prisma,7.07,14.94,3.27,distribuidora iberia,353,2019-11-13,3.19,41.0,casado,grado universitario,31780,no,si,2018-11-20,malaga,sur,38.964,-6.657,nuevo,8,82.31,78.19,4
16,d97410d5-efd5-4086-b35c-164598a8930f,P0020,2022-04-14,1,118.89,0.1,107.0,tarjeta de debito,no,5.0,no,web,2022,hogar,Aspiradora Vantia Pro,vantia,26.28,56.17,4.57,distribuidora iberia,194,2022-05-18,4.86,27.0,casado,grado universitario,39167,si,si,2020-02-14,barcelona,este,37.775,-7.366,corporativo,3,118.89,107.0,4
17,b7949435-21c0-4c85-bad2-275a6cc85b5b,P0085,2022-09-07,1,170.6,0.0,170.6,tarjeta de debito,no,4.0,no,tienda fisica,2022,libros,Manual Zentra Basic,zentra,50.93,97.8,8.46,distribuidora iberia,110,2021-05-19,4.9,26.0,casado,master,26976,si,no,2022-01-26,granada,sur,38.352,-3.172,recurrente,6,170.6,170.6,9
18,c7415e61-ea0d-4227-9232-c27acad0d901,P0088,2022-05-28,4,30.32,0.2,97.01,contrareembolso,si,3.0,no,app movil,2022,libros,Poesia Lumen Basic,lumen,14.28,22.58,11.79,norte logistica,214,2019-12-04,2.82,53.0,casado,grado universitario,39653,si,no,2018-05-02,valencia,este,40.422,-1.791,nuevo,6,30.32,97.01,5
19,7e39f641-c93a-40d4-865b-3db62e276bf2,P0019,2022-05-26,1,22.45,0.1,20.21,tarjeta de debito,no,4.0,no,app movil,2022,hogar,Aspiradora Vantia Basic,vantia,25.1,37.76,9.59,global supply sl,148,2023-05-22,4.15,44.0,soltero,grado universitario,50310,si,no,2019-03-14,zaragoza,centro,39.057,-3.031,recurrente,15,22.45,20.21,5
20,529d575f-46bc-4bf2-9ae9-9d7354fcd017,P0059,2022-12-17,1,55.72,0.3,39.0,paypal,no,5.0,si,app movil,2022,deporte,Mancuernas Nova Pro,nova,34.03,51.28,8.43,norte logistica,25,2024-04-30,3.54,42.0,soltero,basico,64151,no,no,2022-08-24,granada,sur,38.178,0.225,recurrente,8,55.72,39.0,12
21,fd5afbe0-182e-4127-a4c1-bac80b980481,P0045,2022-10-19,2,54.86,0.0,109.72,tarjeta de credito,no,4.0,no,tienda fisica,2022,ropa,Chaqueta Norte&Co Max,norte&co,26.67,38.64,3.97,distribuidora iberia,321,2019-06-16,4.69,40.0,casado,basico,43960,no,si,2018-02-26,malaga,sur,43.259,-5.176,recurrente,3,54.86,109.72,10
22,ec54943a-545b-4665-9281-a7b007e8e9cc,P0069,2022-10-30,2,16.51,0.0,33.01,paypal,si,3.0,no,tienda fisica,2022,deporte,Raqueta Prisma Max,prisma,22.44,42.51,7.59,distribuidora iberia,417,2023-10-26,3.75,42.0,divorciado,grado universitario,42588,no,si,2022-11-29,sevilla,sur,39.895,-2.316,recurrente,6,16.51,33.01,10
23,a638c346-bfd6-433e-bc16-274872fd5bf9,P0058,2022-09-15,3,69.33,0.0,207.99,transferencia,si,4.0,no,app movil,2022,deporte,Mancuernas Vantia Basic,vantia,49.34,81.74,8.93,distribuidora iberia,341,2019-09-04,3.35,47.0,casado,master,25326,no,no,2020-08-04,malaga,sur,36.602,-0.086,nuevo,7,69.33,207.99,9
24,6467d795-ee39-44fa-a3da-472b25f97f7b,P0083,2022-02-23,1,13.38,0.0,13.38,paypal,no,4.0,no,web,2022,libros,Biografia Kore Pro,kore,9.96,21.61,6.89,comercial atlas,450,2019-12-26,3.52,40.0,casado,bachillerato,36106,si,no,2019-10-09,murcia,sur,37.134,-2.75,corporativo,12,13.38,13.38,2
25,8f7b85e4-f6cd-4de7-ac95-375d04899617,P0039,2022-08-24,1,32.51,0.1,29.26,tarjeta de debito,si,4.0,no,app movil,2022,ropa,Camiseta Vantia Max,vantia,67.65,114.1,8.94,global supply sl,303,2021-02-28,3.45,50.0,soltero,master,41976,no,no,2019-09-29,murcia,sur,37.95,-7.745,nuevo,8,32.51,29.26,8
26,8bb3866a-39cb-4168-bf9f-59ff45f1a66a,P0076,2022-06-26,1,32.07,0.0,32.07,tarjeta de credito,no,4.0,no,app movil,2022,libros,Comic Prisma Basic,prisma,39.69,83.49,0.43,norte logistica,127,2021-07-21,4.07,36.0,divorciado,grado universitario,43786,si,no,2020-11-09,granada,sur,38.673,0.897,nuevo,7,32.07,32.07,6
27,f780366a-58d7-4130-bec9-bc5a8e60a84f,P0002,2022-08-11,1,37.36,0.15,31.76,tarjeta de credito,no,4.0,no,web,2022,electronica,Auriculares Urbanix Pro,urbanix,47.97,77.93,11.86,global supply sl,392,2019-03-08,3.29,41.0,casado,master,29449,no,no,2021-12-17,vigo,norte,39.226,0.369,nuevo,9,37.36,31.76,8
28,d17a12c4-6cb1-468f-914f-d3c2b0bdcd01,P0088,2022-03-25,1,40.61,0.0,40.61,tarjeta de debito,no,5.0,no,tienda fisica,2022,libros,Poesia Lumen Basic,lumen,14.28,22.58,11.79,norte logistica,214,2019-12-04,2.82,64.0,casado,grado universitario,34368,no,si,2020-06-10,barcelona,este,40.53,-3.339,corporativo,8,40.61,40.61,3
29,bc550d1f-e309-41cd-b246-d91861db366b,P0076,2022-12-02,1,45.16,0.05,42.9,contrareembolso,no,5.0,no,marketplace,2022,libros,Comic Prisma Basic,prisma,39.69,83.49,0.43,norte logistica,127,2021-07-21,4.07,40.0,soltero,grado universitario,53354,no,no,2022-06-28,malaga,sur,38.42,2.851,recurrente,8,45.16,42.9,12
30,0a8221af-4734-4860-a4e0-9ad05718ddf1,P0053,2022-02-27,1,83.02,0.1,74.72,tarjeta de credito,no,5.0,no,web,2022,ropa,Gorra Nova Pro,nova,36.14,49.45,10.77,norte logistica,352,2019-05-29,3.06,49.0,divorciado,grado universitario,80588,si,no,2022-04-12,malaga,sur,41.84,0.132,corporativo,10,83.02,74.72,2
31,717170c1-feda-4a17-b73d-6da5b0258bfe,P0080,2022-11-17,3,53.74,0.05,153.15,paypal,si,4.0,no,app movil,2022,libros,Ensayo Prisma Pro,prisma,16.12,34.32,10.66,comercial atlas,340,2019-10-28,4.09,39.0,casado,basico,43049,si,no,2022-03-27,vigo,norte,42.427,-8.719,recurrente,5,53.74,153.15,11
32,f9e79df6-4784-4001-a471-e712bd0c0046,P0049,2022-02-10,1,72.55,0.2,58.04,tarjeta de debito,no,5.0,no,tienda fisica,2022,ropa,Vestido Norte&Co Basic,norte&co,34.23,62.87,2.38,norte logistica,488,2021-07-07,3.44,50.0,divorciado,master,32361,no,si,2021-12-26,murcia,sur,40.94,-6.451,vip,11,72.55,58.04,2
33,4b95221c-f029-42e1-8e74-eac68ae96baf,P0061,2022-05-09,1,23.87,0.0,23.87,paypal,si,4.0,no,web,2022,deporte,Bicicleta Kore Basic,kore,28.78,45.4,4.76,norte logistica,63,2023-10-03,2.75,18.0,soltero,bachillerato,29142,no,no,2022-05-09,valencia,este,39.229,-8.228,nuevo,4,23.87,23.87,5
34,f3075bf3-d63a-4d7d-8133-7411460986c9,P0012,2022-01-18,3,16.28,0.0,48.85,tarjeta de credito,no,5.0,no,web,2022,electronica,Tablet Nova Max,nova,52.99,69.3,9.28,global supply sl,88,2019-06-06,3.92,39.0,soltero,basico,52024,no,no,2019-10-10,murcia,sur,37.483,1.882,recurrente,6,16.28,48.85,1
35,f7f78487-a156-4c6c-bb80-1a84e9f2d334,P0036,2022-12-28,1,31.37,0.05,29.8,transferencia,si,4.0,no,app movil,2022,hogar,Estanteria Norte&Co Max,norte&co,14.61,31.58,7.15,norte logistica,409,2019-01-09,4.82,45.0,soltero,master,43352,si,si,2021-08-07,malaga,sur,40.881,-3.949,recurrente,11,31.37,29.8,12
36,9474c08f-9f7a-42c2-8514-5c677526ce73,P0053,2022-05-27,4,37.25,0.15,126.64,tarjeta de credito,si,5.0,no,app movil,2022,ropa,Gorra Nova Pro,nova,36.14,49.45,10.77,norte logistica,352,2019-05-29,3.06,37.0,soltero,bachillerato,50895,no,no,2022-10-27,bilbao,norte,39.62,-7.503,vip,9,37.25,126.64,5
37,921d4c96-ecf0-4b91-b3a2-eed2faff7e37,P0026,2022-11-29,1,29.66,0.15,25.21,tarjeta de debito,no,4.0,no,web,2022,hogar,Sarten Zentra Pro,zentra,31.36,41.33,1.23,global supply sl,471,2022-02-14,3.22,40.0,soltero,grado universitario,33069,no,si,2020-12-17,bilbao,norte,38.368,-3.067,vip,10,29.66,25.21,11
38,76df39bb-bfc2-4c1c-9a4a-310fa27f9a24,P0032,2022-05-05,2,25.9,0.2,41.44,paypal,si,5.0,no,web,2022,hogar,Silla Norte&Co Pro,norte&co,80.42,136.88,1.15,norte logistica,217,2023-07-19,3.63,20.0,soltero,grado universitario,43457,si,no,2018-12-25,vigo,norte,37.758,-0.424,nuevo,9,25.9,41.44,5
39,4b516945-56e2-481e-8bc7-fb5a08aa9bdd,P0002,2022-08-22,2,66.76,0.15,113.49,contrareembolso,no,2.0,no,web,2022,electronica,Auriculares Urbanix Pro,urbanix,47.97,77.93,11.86,global supply sl,392,2019-03-08,3.29,59.0,soltero,bachillerato,32705,no,si,2022-10-18,vigo,norte,40.544,-2.604,corporativo,5,66.76,113.49,8
40,fcf9bf2c-17b9-4941-aca9-f17415ab0ce5,P0009,2022-07-03,2,46.81,0.1,84.26,paypal,no,5.0,no,marketplace,2022,electronica,Portatil Kore Max,kore,13.97,18.53,8.96,global supply sl,23,2021-12-15,3.84,49.0,casado,basico,45851,no,no,2018-12-17,sevilla,sur,41.736,-5.694,vip,10,46.81,84.26,7
41,abfd9fa5-b160-4574-90f9-6e5b5a8d39b8,P0047,2022-12-17,2,51.35,0.1,92.44,tarjeta de credito,no,4.0,no,app movil,2022,ropa,Zapatillas Nova Pro,nova,80.97,119.17,11.8,distribuidora iberia,181,2020-10-22,4.27,29.0,casado,grado universitario,53355,no,no,2020-04-06,granada,sur,40.577,2.425,recurrente,8,51.35,92.44,12
42,ae7ee95c-3164-4e30-bcb1-41c6a49c4dfe,P0078,2022-08-26,3,113.15,0.3,237.62,tarjeta de debito,no,4.0,no,marketplace,2022,libros,Comic Kore Max,kore,30.44,58.25,8.75,norte logistica,60,2019-04-19,3.86,31.0,soltero,master,40105,no,si,2021-04-03,malaga,sur,38.126,-7.828,nuevo,15,113.15,237.62,8
43,0bf3e46e-80e5-414d-a7c0-ce34d5aa6e9f,P0003,2022-01-14,1,62.52,0.0,62.52,tarjeta de debito,no,5.0,no,app movil,2022,electronica,Auriculares Nova Max,nova,49.49,98.89,8.54,global supply sl,317,2023-06-16,4.18,70.0,soltero,grado universitario,21996,si,si,2019-05-10,murcia,sur,36.035,-1.668,vip,5,62.52,62.52,1
44,f0217079-a404-4bf0-9048-161e5857f86c,P0084,2022-03-23,1,890.29,0.1,801.26,tarjeta de credito,no,4.0,no,app movil,2022,libros,Biografia Nova Max,nova,15.12,22.78,10.89,global supply sl,154,2023-05-12,4.74,52.0,casado,grado universitario,31179,si,no,2021-04-09,barcelona,este,41.271,1.95,nuevo,9,177.66040000000007,503.0609000000002,3
45,271026d1-771b-43c4-807d-af83eef6b1ab,P0008,2022-04-12,5,33.94,0.0,169.7,tarjeta de credito,no,5.0,no,app movil,2022,electronica,Portatil Urbanix Pro,urbanix,62.95,135.18,7.21,global supply sl,380,2019-11-01,4.21,45.0,soltero,grado universitario,58463,no,si,2021-05-26,madrid,centro,39.66,-0.897,recurrente,9,33.94,169.7,4
46,05bdeaf8-c895-4426-8b72-09e8545be35e,P0043,2022-03-06,1,126.45,0.15,107.48,paypal,no,3.0,no,app movil,2022,ropa,Chaqueta Kore Basic,kore,33.61,47.03,2.94,comercial atlas,39,2022-07-28,2.97,50.0,soltero,master,37146,si,no,2021-06-29,granada,sur,36.552,2.877,nuevo,9,126.45,107.48,3
47,f46a4904-7a1b-49be-8a99-dcdfe5d749a5,P0045,2022-03-11,1,87.04,0.2,69.64,tarjeta de debito,no,2.0,si,app movil,2022,ropa,Chaqueta Norte&Co Max,norte&co,26.67,38.64,3.97,distribuidora iberia,321,2019-06-16,4.69,51.0,casado,master,72391,si,no,2021-02-21,sevilla,sur,38.882,-4.645,nuevo,3,87.04,69.64,3
48,7f23635c-d222-4ebd-b6d0-e2f98cee22a5,P0047,2022-01-10,1,67.64,0.05,64.26,transferencia,no,5.0,no,tienda fisica,2022,ropa,Zapatillas Nova Pro,nova,80.97,119.17,11.8,distribuidora iberia,181,2020-10-22,4.27,36.0,casado,basico,41061,no,no,2019-10-25,madrid,centro,41.578,0.286,nuevo,8,67.64,64.26,1
49,22f64527-4182-4c4e-8128-d3ef73178957,P0041,2022-09-27,1,65.16,0.0,65.16,tarjeta de credito,no,5.0,no,marketplace,2022,ropa,Pantalon Norte&Co Pro,norte&co,9.76,17.78,10.36,norte logistica,336,2023-10-03,4.72,40.0,soltero,master,19016,si,no,2018-05-18,vigo,norte,38.167,1.471,nuevo,4,65.16,65.16,9
50,cd1c7936-b0af-45b4-9903-37685d990d8f,P0031,2022-10-26,1,13.64,0.0,13.64,tarjeta de debito,si,5.0,no,web,2022,hogar,Silla Vantia Basic,vantia,41.97,67.5,8.58,comercial atlas,301,2022-07-25,3.28,42.0,casado,grado universitario,32739,no,no,2022-03-08,valencia,este,40.958,-5.139,corporativo,9,13.64,13.64,10
51,dc413b6b-a279-4eb6-9e68-ba6f982b1ba9,P0058,2022-07-11,2,53.08,0.05,100.85,contrareembolso,no,3.0,no,app movil,2022,deporte,Mancuernas Vantia Basic,vantia,49.34,81.74,8.93,distribuidora iberia,341,2019-09-04,3.35,44.0,soltero,grado universitario,40317,si,no,2022-08-18,murcia,sur,40.395,-5.009,vip,9,53.08,100.85,7
52,3395d8b9-5e4a-4649-ac42-7b44ff093702,P0063,2022-09-23,2,24.37,0.05,46.31,paypal,si,4.0,no,tienda fisica,2022,deporte,Bicicleta Zentra Max,zentra,34.26,72.84,10.01,comercial atlas,285,2021-03-06,4.84,51.0,divorciado,bachillerato,39909,no,no,2021-04-13,valencia,este,37.11,-1.547,vip,9,24.37,46.31,9
53,ccf8c9e6-d7a8-4c1c-8c74-80d4a27de195,P0071,2022-04-08,2,35.71,0.1,64.28,tarjeta de credito,no,5.0,no,web,2022,deporte,Casco Lumen Pro,lumen,5.24,9.7,5.45,global supply sl,409,2019-07-03,3.42,21.0,casado,master,47756,no,si,2020-11-25,bilbao,norte,43.303,-5.372,recurrente,7,35.71,64.28,4
54,cf70b90a-c867-45c3-8c66-00611e70a70d,P0079,2022-09-25,2,43.61,0.0,87.22,tarjeta de debito,no,4.0,no,web,2022,libros,Ensayo Urbanix Basic,urbanix,24.21,48.33,4.65,comercial atlas,402,2022-09-23,4.84,43.0,soltero,grado universitario,24267,si,no,2019-08-12,bilbao,norte,40.429,-3.057,recurrente,5,43.61,87.22,9
55,60f1e20a-5e4b-4a96-ac42-6e42dad1893d,P0048,2022-10-03,4,35.13,0.05,133.5,tarjeta de debito,no,4.0,no,marketplace,2022,ropa,Zapatillas Prisma Max,prisma,19.15,37.77,11.98,global supply sl,98,2023-09-15,4.43,41.0,casado,bachillerato,82547,no,si,2020-02-20,murcia,sur,36.11,-1.326,nuevo,8,35.13,133.5,10
56,0f4308ea-cc68-4848-a93a-d422b02cf649,P0063,2022-02-16,1,59.26,0.0,59.26,tarjeta de debito,si,5.0,no,app movil,2022,deporte,Bicicleta Zentra Max,zentra,34.26,72.84,10.01,comercial atlas,285,2021-03-06,4.84,43.0,soltero,bachillerato,49376,si,no,2019-10-28,malaga,sur,41.588,-0.978,nuevo,4,59.26,59.26,2
57,76940455-b8f6-466a-9486-29cd6c95bc38,P0056,2022-01-12,1,36.99,0.0,36.99,paypal,no,5.0,si,app movil,2022,deporte,Balon Zentra Pro,zentra,13.5,18.87,4.89,global supply sl,381,2023-12-24,3.86,53.0,casado,doctorado,41234,no,si,2022-07-19,malaga,sur,41.385,-5.907,recurrente,7,36.99,36.99,1
58,fb9cd4b9-e80c-415e-a889-628abbb009e0,P0023,2022-03-15,2,83.78,0.0,167.57,tarjeta de debito,si,4.0,no,web,2022,hogar,Cafetera Nova Pro,nova,12.56,24.24,6.49,comercial atlas,200,2022-09-01,4.84,43.0,casado,basico,22151,no,no,2020-10-24,murcia,sur,41.281,-8.901,recurrente,8,83.78,167.57,3
59,6aed9c53-f524-4d9f-889f-cf2548600dae,P0055,2022-10-03,2,105.06,0.0,210.12,tarjeta de debito,no,4.0,no,app movil,2022,deporte,Balon Vantia Basic,vantia,96.15,211.36,7.53,global supply sl,244,2022-02-22,3.99,25.0,casado,bachillerato,51428,si,no,2019-01-15,barcelona,este,38.562,1.476,vip,5,105.06,210.12,10
60,58cb3685-781f-463a-896c-8b270d6079ff,P0022,2022-08-12,1,43.98,0.05,41.78,paypal,no,5.0,no,app movil,2022,hogar,Cafetera Norte&Co Basic,norte&co,21.12,35.46,0.92,comercial atlas,399,2020-12-03,4.98,47.0,casado,grado universitario,45107,no,no,2021-09-25,granada,sur,42.012,1.115,vip,10,43.98,41.78,8
61,7295ff65-4197-48d2-9e60-280f8be844a9,P0085,2022-09-24,4,98.79,0.0,395.16,tarjeta de credito,si,4.0,no,tienda fisica,2022,libros,Manual Zentra Basic,zentra,50.93,97.8,8.46,distribuidora iberia,110,2021-05-19,4.9,52.0,casado,bachillerato,27724,si,no,2018-08-19,vigo,norte,36.761,-7.14,nuevo,8,98.79,395.16,9
62,609c7437-01ff-4f4b-8988-b638707c2f77,P0009,2022-03-10,1,84.71,0.0,84.71,tarjeta de credito,si,5.0,no,tienda fisica,2022,electronica,Portatil Kore Max,kore,13.97,18.53,8.96,global supply sl,23,2021-12-15,3.84,41.0,casado,grado universitario,25466,si,no,2018-09-11,murcia,sur,42.488,1.37,nuevo,3,84.71,84.71,3
63,8100d7a6-93c4-4282-beb7-6b54424c0be4,P0057,2022-08-11,1,15.97,0.1,14.37,tarjeta de credito,si,3.0,no,tienda fisica,2022,deporte,Balon Kore Max,kore,13.36,26.72,9.0,global supply sl,460,2020-12-12,3.49,45.0,casado,bachillerato,60244,si,si,2020-12-27,malaga,sur,41.375,2.307,recurrente,6,15.97,14.37,8
64,b8c398c4-1342-4ed9-924a-77afa8dc9366,P0034,2022-08-26,3,33.11,0.1,89.4,paypal,si,3.0,no,web,2022,hogar,Estanteria Nova Basic,nova,13.94,26.26,5.83,comercial atlas,197,2023-09-24,3.68,38.0,soltero,master,39568,no,no,2020-11-22,zaragoza,centro,43.266,0.109,nuevo,4,33.11,89.4,8
65,05767c65-9328-459d-a294-9504913fcfb6,P0057,2022-06-18,1,23.06,0.15,19.6,tarjeta de debito,no,1.0,no,web,2022,deporte,Balon Kore Max,kore,13.36,26.72,9.0,global supply sl,460,2020-12-12,3.49,62.0,soltero,grado universitario,18709,no,si,2021-12-19,barcelona,este,37.483,-8.904,nuevo,15,23.06,19.6,6
66,69dec2e1-3af5-4f81-8394-2421083679ad,P0087,2022-09-29,1,57.6,0.0,57.6,paypal,no,4.0,no,tienda fisica,2022,libros,Manual Zentra Max,zentra,18.46,28.12,5.61,distribuidora iberia,365,2021-05-10,4.78,44.0,casado,grado universitario,53744,no,no,2021-04-30,barcelona,este,42.128,-6.055,vip,14,57.6,57.6,9
67,291c89d5-34a5-40bf-b2ad-618a7310d9f5,P0049,2022-07-11,1,50.94,0.1,45.84,tarjeta de debito,si,5.0,no,marketplace,2022,ropa,Vestido Norte&Co Basic,norte&co,34.23,62.87,2.38,norte logistica,488,2021-07-07,3.44,37.0,divorciado,bachillerato,28653,si,no,2022-06-23,bilbao,norte,40.75,-1.328,nuevo,10,50.94,45.84,7
68,45ace751-0b4c-4600-9a73-ea75095270ee,P0008,2022-11-11,2,14.97,0.15,25.44,paypal,no,5.0,no,web,2022,electronica,Portatil Urbanix Pro,urbanix,62.95,135.18,7.21,global supply sl,380,2019-11-01,4.21,30.0,casado,bachillerato,49564,si,si,2019-03-15,malaga,sur,38.399,-3.108,recurrente,8,14.97,25.44,11
69,5094b7e4-142f-4b1f-bec2-8e5e9fd8ef9b,P0074,2022-11-29,5,59.09,0.1,265.92,transferencia,no,5.0,no,web,2022,libros,Novela Vantia Pro,vantia,18.08,35.9,10.91,norte logistica,113,2024-04-06,4.42,40.0,casado,basico,41497,si,si,2021-07-08,malaga,sur,40.386,-4.486,nuevo,9,59.09,265.92,11
70,67e808a8-287d-440e-9d46-1326aaf843e2,P0055,2022-07-28,3,41.71,0.15,106.37,tarjeta de debito,no,4.0,no,tienda fisica,2022,deporte,Balon Vantia Basic,vantia,96.15,211.36,7.53,global supply sl,244,2022-02-22,3.99,34.0,casado,basico,20384,si,si,2019-03-12,malaga,sur,37.827,-3.76,recurrente,11,41.71,106.37,7
71,cfc88eab-2dcf-4626-92c4-bc600c9c7268,P0083,2022-05-23,4,136.7,0.0,546.8,tarjeta de credito,si,3.0,no,tienda fisica,2022,libros,Biografia Kore Pro,kore,9.96,21.61,6.89,comercial atlas,450,2019-12-26,3.52,18.0,casado,grado universitario,33833,no,no,2018-12-09,zaragoza,centro,39.153,-6.446,nuevo,5,136.7,503.0609000000002,5
72,1a0c46dd-0085-46c4-8c24-dda13696546f,P0023,2022-07-02,3,40.32,0.1,108.85,tarjeta de credito,no,2.0,no,web,2022,hogar,Cafetera Nova Pro,nova,12.56,24.24,6.49,comercial atlas,200,2022-09-01,4.84,35.0,soltero,basico,50278,no,no,2019-06-15,zaragoza,centro,41.063,-5.932,recurrente,7,40.32,108.85,7
